customer_id,offer_id,offered_price,promotion_active,purchase
1,1,28.24,FALSE,0
2,1,10.37,TRUE,1
3,1,8.5,FALSE,1
4,1,18.57,FALSE,0
5,1,28.01,FALSE,0
6,1,22.57,FALSE,0
7,1,7.42,TRUE,1
8,1,20.27,TRUE,0
9,1,7,TRUE,1
10,1,14.18,FALSE,1
11,1,18.68,FALSE,0
12,1,7.65,FALSE,0
13,1,25.81,FALSE,0
14,1,19.61,FALSE,0
15,1,14.1,TRUE,0
16,1,6.7,FALSE,0
17,1,26.26,FALSE,0
18,1,5.77,TRUE,0
19,1,24.51,FALSE,0
20,1,11.24,FALSE,0
21,1,22.78,TRUE,0
22,1,25.08,FALSE,0
23,1,9.08,FALSE,1
24,1,14.62,FALSE,1
25,1,7.92,FALSE,0
26,1,20.7,FALSE,0
27,1,24.57,FALSE,0
28,1,5.68,TRUE,0
29,1,11.84,FALSE,0
30,1,22.14,TRUE,0
31,1,24.43,FALSE,0
32,1,28.04,FALSE,0
33,1,26.58,FALSE,0
34,1,15.9,FALSE,0
35,1,14.46,FALSE,0
36,1,21.36,TRUE,0
37,1,11.1,FALSE,0
38,1,21.65,FALSE,0
39,1,14.38,FALSE,0
40,1,16.57,FALSE,1
41,1,23.77,TRUE,0
42,1,12.19,FALSE,1
43,1,9.24,FALSE,0
44,1,28.43,TRUE,0
45,1,8.11,FALSE,1
46,1,9.19,FALSE,0
47,1,8.07,TRUE,0
48,1,17.84,TRUE,0
49,1,14.45,FALSE,0
50,1,2.53,FALSE,1
51,1,10.22,FALSE,0
52,1,15.99,FALSE,0
53,1,4.14,FALSE,1
54,1,25.54,FALSE,0
55,1,15.47,FALSE,0
56,1,7.59,TRUE,0
57,1,5.59,FALSE,1
58,1,9.78,TRUE,0
59,1,9.06,TRUE,0
60,1,14.46,FALSE,1
61,1,15.4,TRUE,0
62,1,15.15,FALSE,0
63,1,10.75,FALSE,0
64,1,23.79,TRUE,0
65,1,28.05,TRUE,0
66,1,11.16,TRUE,0
67,1,15.5,TRUE,0
68,1,25.54,FALSE,0
69,1,14.2,TRUE,0
70,1,29.69,FALSE,0
