price,oracle_expected_demand,oracle_constrained_sales,oracle_expected_profit,oracle_optimal_price,oracle_optimal_profit,is_oracle_optimal
1,41.62091613017512,41.62091613017512,-166.48366452070047,35,355.82005970239555,FALSE
1.25,40.04533279720169,40.04533279720169,-150.16999798950633,35,355.82005970239555,FALSE
1.5,38.51200318383877,38.51200318383877,-134.7920111434357,35,355.82005970239555,FALSE
1.75,37.03736086319989,37.03736086319989,-120.37142280539965,35,355.82005970239555,FALSE
2,35.63278405249562,35.63278405249562,-106.89835215748687,35,355.82005970239555,FALSE
2.25,34.30532672115473,34.30532672115473,-94.3396484831755,35,355.82005970239555,FALSE
2.5,33.05855819159655,33.05855819159655,-82.64639547899138,35,355.82005970239555,FALSE
2.75,31.893302717407764,31.893302717407764,-71.75993111416747,35,355.82005970239555,FALSE
3,30.808246253935298,30.808246253935298,-61.616492507870596,35,355.82005970239555,FALSE
3.25,29.800459004087223,29.800459004087223,-52.15080325715264,35,355.82005970239555,FALSE
3.5,28.865878122912772,28.865878122912772,-43.298817184369156,35,355.82005970239555,FALSE
3.75,27.999757036746267,27.999757036746267,-34.999696295932836,35,355.82005970239555,FALSE
4,27.197059283138604,27.197059283138604,-27.197059283138604,35,355.82005970239555,FALSE
4.25,26.452770106037104,26.452770106037104,-19.839577579527827,35,355.82005970239555,FALSE
4.5,25.762111736745556,25.762111736745556,-12.881055868372778,35,355.82005970239555,FALSE
4.75,25.120665854738377,25.120665854738377,-6.280166463684594,35,355.82005970239555,FALSE
5,24.5244201536403,24.5244201536403,0,35,355.82005970239555,FALSE
5.25,23.969761987553106,23.969761987553106,5.9924404968882765,35,355.82005970239555,FALSE
5.5,23.453441594717443,23.453441594717443,11.726720797358722,35,355.82005970239555,FALSE
5.75,22.97252294501077,22.97252294501077,17.229392208758078,35,355.82005970239555,FALSE
6,22.52433439607529,22.52433439607529,22.52433439607529,35,355.82005970239555,FALSE
6.25,22.106425864316954,22.106425864316954,27.63303233039619,35,355.82005970239555,FALSE
6.5,21.716535027670396,21.716535027670396,32.57480254150559,35,355.82005970239555,FALSE
6.75,21.352562390856885,21.352562390856885,37.36698418399955,35,355.82005970239555,FALSE
7,21.01255366328021,21.01255366328021,42.02510732656042,35,355.82005970239555,FALSE
7.25,20.694687458159905,20.694687458159905,46.563046780859786,35,355.82005970239555,FALSE
7.5,20.397266445001847,20.397266445001847,50.99316611250462,35,355.82005970239555,FALSE
7.75,20.11871047669127,20.11871047669127,55.32645381090099,35,355.82005970239555,FALSE
8,19.857550666383297,19.857550666383297,59.57265199914989,35,355.82005970239555,FALSE
8.25,19.612423795539154,19.612423795539154,63.74037733550225,35,355.82005970239555,FALSE
8.5,19.382066745605147,19.382066745605147,67.83723360961801,35,355.82005970239555,FALSE
8.75,19.165310855250453,19.165310855250453,71.8699157071892,35,355.82005970239555,FALSE
9,18.961076227043264,18.961076227043264,75.84430490817306,35,355.82005970239555,FALSE
9.25,18.768366063950022,18.768366063950022,79.76555577178759,35,355.82005970239555,FALSE
9.5,18.58626112913355,18.58626112913355,83.63817508110098,35,355.82005970239555,FALSE
9.75,18.413914410631264,18.413914410631264,87.4660934504985,35,355.82005970239555,FALSE
10,18.25054604925712,18.25054604925712,91.25273024628561,35,355.82005970239555,FALSE
10.25,18.095438562546097,18.095438562546097,95.00105245336701,35,355.82005970239555,FALSE
10.5,17.947932375015668,17.947932375015668,98.71362806258617,35,355.82005970239555,FALSE
10.75,17.807421647905734,17.807421647905734,102.39267447545797,35,355.82005970239555,FALSE
11,17.673350390436624,17.673350390436624,106.04010234261975,35,355.82005970239555,FALSE
11.25,17.54520882891082,17.54520882891082,109.65755518069263,35,355.82005970239555,FALSE
