customer_id,offer_id,offered_price,promotion_active,purchase
1,1,6.17,FALSE,0
2,1,24.24,FALSE,1
3,1,3.22,FALSE,0
4,1,14.38,FALSE,1
5,1,10.66,FALSE,0
6,1,29.35,FALSE,0
7,1,14.65,TRUE,1
8,1,2.87,FALSE,0
9,1,29.59,FALSE,0
10,1,23.47,FALSE,1
11,1,10.12,FALSE,0
12,1,11.68,FALSE,0
13,1,7.55,FALSE,0
14,1,15.99,FALSE,1
15,1,28.62,FALSE,0
16,1,4.74,FALSE,0
17,1,22.17,FALSE,0
18,1,8.62,FALSE,0
19,1,22.73,FALSE,0
20,1,7.81,FALSE,0
21,1,10.76,FALSE,0
22,1,7.18,FALSE,0
23,1,18.61,TRUE,1
24,1,7.26,FALSE,1
25,1,23.14,FALSE,0
26,1,2.43,FALSE,0
27,1,6.74,FALSE,0
28,1,26.92,FALSE,0
29,1,10.65,TRUE,0
30,1,6.31,FALSE,1
31,1,22.62,FALSE,0
32,1,25.38,FALSE,0
33,1,14.34,FALSE,0
34,1,18.39,FALSE,1
35,1,20.72,FALSE,0
36,1,19.12,TRUE,0
37,1,8.73,FALSE,0
38,1,23.35,FALSE,0
39,1,24.62,FALSE,1
40,1,7.67,FALSE,1
41,1,9.68,FALSE,0
42,1,16.46,TRUE,1
43,1,22.08,FALSE,0
44,1,7.84,FALSE,0
45,1,13.84,TRUE,1
46,1,4.35,TRUE,1
47,1,23.7,FALSE,0
48,1,26.51,FALSE,0
49,1,2.26,FALSE,0
50,1,24.1,FALSE,0
51,1,9.52,FALSE,1
52,1,17.46,FALSE,0
53,1,6.61,FALSE,0
54,1,14.45,FALSE,0
55,1,10.28,FALSE,0
56,1,24.77,FALSE,0
57,1,6.82,TRUE,0
58,1,30.13,TRUE,1
59,1,7.36,FALSE,0
60,1,12.82,TRUE,1
1,2,19.44,FALSE,0
2,2,4.12,TRUE,1
3,2,26.33,FALSE,0
4,2,20.82,FALSE,1
5,2,17.97,FALSE,0
6,2,13.53,FALSE,0
7,2,12.29,FALSE,1
8,2,9.12,FALSE,0
9,2,9.65,FALSE,1
10,2,8.75,FALSE,0
11,2,15.69,TRUE,0
12,2,12.61,FALSE,0
13,2,11.65,FALSE,0
14,2,23.98,FALSE,1
15,2,22.37,TRUE,0
16,2,20.5,FALSE,0
17,2,7.73,FALSE,0
18,2,20.89,FALSE,0
19,2,10.91,FALSE,0
20,2,23.92,FALSE,0
21,2,6.2,FALSE,0
22,2,7.48,FALSE,0
23,2,5.03,FALSE,1
24,2,25.78,TRUE,1
25,2,3.73,TRUE,0
26,2,15.91,FALSE,0
