customer_id,offer_id,offered_price,promotion_active,purchase
1,1,8.52,FALSE,0
2,1,19.49,FALSE,1
3,1,3.5,FALSE,1
4,1,13.26,FALSE,0
5,1,19.11,TRUE,0
6,1,14.29,FALSE,0
7,1,17.42,TRUE,1
8,1,27.13,FALSE,0
9,1,22.07,FALSE,1
10,1,13.34,TRUE,0
11,1,24.26,FALSE,0
12,1,7.35,FALSE,0
13,1,23.84,FALSE,0
14,1,11.45,FALSE,0
15,1,29.34,FALSE,0
16,1,29.52,TRUE,0
17,1,15.55,TRUE,0
18,1,18.35,FALSE,0
19,1,11.43,FALSE,0
20,1,28.2,FALSE,0
21,1,23.72,FALSE,0
22,1,7.49,FALSE,0
23,1,14.6,FALSE,1
24,1,24.1,TRUE,0
25,1,22.67,TRUE,0
26,1,16.05,FALSE,0
27,1,9.42,FALSE,0
28,1,27.26,FALSE,0
29,1,13.74,FALSE,0
30,1,6.41,FALSE,0
31,1,8.52,FALSE,0
32,1,10.26,TRUE,0
33,1,6.37,FALSE,0
34,1,15.33,FALSE,0
35,1,10.9,FALSE,0
36,1,7.24,TRUE,0
37,1,23.28,FALSE,0
38,1,10.16,FALSE,0
39,1,6.15,FALSE,0
40,1,18.85,FALSE,1
41,1,2.4,FALSE,1
42,1,9.21,FALSE,1
43,1,21.1,FALSE,0
44,1,25.49,FALSE,0
45,1,9.02,FALSE,1
46,1,6.25,FALSE,1
47,1,15.31,FALSE,0
48,1,25.52,TRUE,0
49,1,13.49,FALSE,0
50,1,24.51,FALSE,0
1,2,3.53,FALSE,1
2,2,25.72,FALSE,1
3,2,22.45,TRUE,0
4,2,28.37,FALSE,0
5,2,25.89,FALSE,0
6,2,8.89,FALSE,0
7,2,23.47,FALSE,1
8,2,21.61,FALSE,0
9,2,5,FALSE,1
10,2,25.87,FALSE,1
11,2,4,FALSE,1
12,2,9.54,FALSE,0
13,2,23.98,FALSE,0
14,2,12.76,TRUE,0
15,2,12.95,FALSE,0
16,2,13.68,FALSE,0
17,2,24.94,FALSE,0
18,2,8.52,FALSE,0
19,2,6.4,FALSE,0
20,2,27.56,FALSE,0
21,2,8.44,FALSE,0
22,2,25.82,FALSE,0
23,2,4.18,FALSE,1
24,2,17.58,FALSE,0
25,2,11.89,FALSE,0
26,2,24.04,FALSE,0
27,2,5.77,FALSE,0
28,2,24.22,FALSE,0
29,2,24.09,FALSE,0
30,2,23.75,FALSE,0
31,2,20.84,TRUE,0
32,2,7.7,TRUE,0
33,2,6.43,FALSE,0
34,2,12.54,FALSE,0
35,2,21.03,FALSE,0
36,2,7.53,FALSE,0
37,2,13.95,FALSE,0
38,2,6.87,TRUE,0
39,2,26.33,FALSE,0
40,2,4.04,TRUE,1
41,2,15.9,FALSE,0
42,2,8.46,FALSE,0
43,2,4.14,FALSE,0
44,2,3.18,FALSE,1
45,2,26.33,TRUE,1
46,2,25.59,FALSE,0
47,2,13.42,FALSE,0
48,2,4.09,FALSE,0
49,2,24.24,FALSE,0
50,2,12.57,FALSE,0
1,3,3.56,FALSE,0
2,3,6.28,FALSE,1
3,3,24.03,FALSE,0
4,3,8.46,TRUE,0
5,3,29.86,FALSE,0
6,3,6.28,FALSE,0
7,3,3.55,FALSE,1
8,3,12.69,FALSE,0
9,3,4,FALSE,0
10,3,14.96,FALSE,1
11,3,24.26,FALSE,0
12,3,3.4,FALSE,0
13,3,24.42,FALSE,0
14,3,2.16,FALSE,1
15,3,11.5,FALSE,0
16,3,9.34,FALSE,0
17,3,14.66,FALSE,0
18,3,5.75,FALSE,0
19,3,24.21,FALSE,0
20,3,10.23,FALSE,0
21,3,2.35,FALSE,0
22,3,10.07,FALSE,0
23,3,16.66,FALSE,0
24,3,21.9,FALSE,0
25,3,15.55,FALSE,0
26,3,22.03,TRUE,0
27,3,28.66,FALSE,0
